PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,LA,,,,,,,,,
Location:,"LOS ANGELES, CA",,,,,,,,,
Lat (deg N):,33.93,,,,,,,,,
Long (deg W):,118.4,,,,,,,,,
Elev (m):,32,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.13,,,,,,,,,
Capacity Factor (%),"18.1	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,4,18,0,0,15,2.6,0,15,0.00,0
1,4,19,0,0,15,2.6,0,15,0.00,0
1,4,20,0,0,14.4,3.1,0,14.4,0.00,0
1,4,21,0,0,14.4,0,0,14.4,0.00,0
1,4,22,0,0,13.9,5.2,0,13.9,0.00,0
1,4,23,0,0,14.4,5.2,0,14.4,0.00,0
1,5,0,0,0,13.3,3.1,0,13.3,0.00,0
1,5,1,0,0,13.3,2.6,0,13.3,0.00,0
1,5,2,0,0,12.2,2.1,0,12.2,0.00,0
1,5,3,0,0,11.7,0,0,11.7,0.00,0
1,5,4,0,0,11.7,3.6,0,11.7,0.00,0
1,5,5,0,0,11.7,3.1,0,11.7,0.00,0
1,5,6,0,0,12.8,3.1,0,12.8,0.00,0
1,5,7,2,30,11.1,6.7,30.691,10.464,28.09,22.006
1,5,8,4,50,10.6,6.2,49.289,10.264,45.21,38.792
1,5,9,5,94,10.6,5.2,93.696,11.106,85.77,78.539
1,5,10,8,119,10.6,5.7,121.013,11.642,110.56,102.793
1,5,11,6,145,11.1,5.2,146.08,12.734,132.85,124.594
1,5,12,1,142,10.6,3.6,138.99,12.49,126.56,118.441
1,5,13,0,131,10.6,5.2,127.502,11.9,116.40,108.513
1,5,14,1,104,10.6,4.6,101.626,11.45,92.95,85.566
1,5,15,107,87,11.7,3.6,145.037,13.633,128.18,120.031
1,5,16,35,33,11.7,1.5,49.416,11.562,43.32,36.939
1,5,17,0,0,12.2,2.1,0,12.2,0.00,0
1,5,18,0,0,11.7,3.1,0,11.7,0.00,0
1,5,19,0,0,11.7,4.1,0,11.7,0.00,0
1,5,20,0,0,11.7,4.6,0,11.7,0.00,0
1,5,21,0,0,11.1,3.1,0,11.1,0.00,0
1,5,22,0,0,10.6,5.2,0,10.6,0.00,0
1,5,23,0,0,10,5.2,0,10,0.00,0
1,6,0,0,0,11.1,2.6,0,11.1,0.00,0
1,6,1,0,0,9.4,2.1,0,9.4,0.00,0
1,6,2,0,0,8.3,2.6,0,8.3,0.00,0
1,6,3,0,0,6.7,2.6,0,6.7,0.00,0
1,6,4,0,0,7.8,2.6,0,7.8,0.00,0
1,6,5,0,0,7.2,1.5,0,7.2,0.00,0
1,6,6,0,0,6.7,3.1,0,6.7,0.00,0
